"","Dip","Gain","MatrixGo1","MatrixGo2","MatrixGo3","MatrixGo4","MatrixGo5","MatrixGo6","MatrixNoGo1","MatrixNoGo2","MatrixNoGo3","MatrixNoGo4","MatrixNoGo5","MatrixNoGo6"
"231","1.2","1.1",0.156277,0.136672,0.0891788,0.0277193,0.000104945,9.90079e-05,0.000131122,0.0432373,0.103021,0.143445,0.155701,0.159652
"232","1.2","1.2",0.156278,0.139008,0.0954478,0.0342195,0.000107431,9.90079e-05,0.000128219,0.0385573,0.0969246,0.140714,0.155221,0.159652
"233","1.2","1.3",0.156279,0.140827,0.101007,0.0403664,0.000112433,9.90079e-05,0.000125757,0.0344823,0.0912484,0.137687,0.154713,0.159652
"234","1.2","1.4",0.15628,0.142294,0.105938,0.0461845,0.000126814,9.90079e-05,0.000123899,0.0309022,0.0859826,0.134428,0.154174,0.159652
"235","1.2","1.5",0.156281,0.143505,0.110314,0.0517009,0.000174236,9.90079e-05,0.000122212,0.0277325,0.0810655,0.131034,0.153603,0.159652
"236","1.2","1.6",0.156281,0.144518,0.114196,0.0569408,0.00028517,9.90067e-05,0.000120887,0.0249062,0.076406,0.127558,0.152996,0.159652
"237","1.2","1.7",0.156282,0.145377,0.117642,0.0619266,0.000530536,9.90067e-05,0.000119612,0.0223706,0.072088,0.124045,0.152352,0.159652
"238","1.2","1.8",0.156282,0.146113,0.120701,0.0666584,0.000945837,9.90067e-05,0.000118603,0.0200823,0.0681295,0.120553,0.151668,0.159652
"239","1.2","1.9",0.15628,0.146747,0.123413,0.071103,0.00176856,9.90069e-05,0.000117722,0.0180093,0.0644787,0.117136,0.150942,0.159651
"240","1.2","2.0",0.15628,0.147296,0.125811,0.075491,0.00328274,9.90069e-05,0.000116877,0.0161473,0.0611083,0.11385,0.150167,0.159651
"241","1.3","0.1",0.15515,0.00328953,0.000114843,0.000105425,9.60957e-05,9.82531e-05,0.0192029,0.154411,0.156055,0.159071,0.159324,0.159654
"242","1.3","0.2",0.156154,0.0282303,0.000203991,0.000107463,9.64541e-05,9.82533e-05,0.00655838,0.145961,0.154045,0.158295,0.159068,0.159654
"243","1.3","0.3",0.156244,0.0562812,0.00155555,0.000109947,9.68377e-05,9.82519e-05,0.00193436,0.132599,0.15152,0.15743,0.1588,0.159654
"244","1.3","0.4",0.156261,0.0775228,0.00989613,0.000113334,9.72583e-05,9.82506e-05,0.000370058,0.116885,0.148344,0.156464,0.158517,0.159653
"245","1.3","0.5",0.156266,0.0934883,0.0233181,0.000119014,9.77224e-05,9.82506e-05,0.000189128,0.101885,0.144392,0.15538,0.158222,0.159652
"246","1.3","0.6",0.156272,0.105225,0.0362112,0.000167997,9.82378e-05,9.82506e-05,0.000166144,0.0888512,0.139605,0.154167,0.157912,0.159652
"247","1.3","0.7",0.156276,0.114208,0.047641,0.000824257,9.88166e-05,9.82506e-05,0.000153825,0.0776678,0.133863,0.152805,0.157586,0.159652
